Company,Country
Cognizant Technology Solutions,USA
Builders FirstSource,USA
Sinochem Group,China
Williams,USA
Avis Budget Group,USA
State Bank of India (SBI),India
Sanmina,USA
Everbright Securities,China
The Boeing Company,USA
SpartanNash,USA
Republic Services,USA
Berry Global Group,USA
Legal & General Group,UK
Tesco,UK
Cheniere Energy,USA
EnLink Midstream,USA
Renishaw,UK
Marico Limited,India
Dell Technologies,USA
Kingfisher plc,UK
Nationwide,UK
TJX,USA
Regions Financial,USA
Aflac,USA
Prudential plc,UK
Telstra Corporation,Australia
ThyssenKrupp AG,Germany
Paramount Global,USA
Siemens India,India
Molina Healthcare,USA
Newell Brands,USA
Hartford Financial Services Group,USA
China Mobile,China
EasyJet,UK
Adani Enterprises,India
Bharat Electronics Limited,India
Dover,USA
Marathon Oil,USA
Muthoot Finance,India
"Wirecard AG (Now defunct, due to bankruptcy)",Germany
WestRock,USA
Becton Dickinson,USA
Freddie Mac,USA
VMware,USA
Smith & Nephew,UK
Indian Oil Corporation,India
Deutsche Wohnen SE,Germany
Viatris,USA
Amphenol,USA
American Tower,USA
Bajaj Finserv,India
UltraTech Cement,India
TIAA,USA
Workspace Group,UK
Graybar Electric,USA
Aristocrat Leisure,Australia
Massachusetts Mutual Life Insurance,USA
Thor Industries,USA
Allstate,USA
Olin,USA
CSL Limited,Australia
Corteva,USA
Auto-Owners Insurance,USA
Hertz Global Holdings,USA
SVB Financial Group,USA
BP (British Petroleum),UK
Macy's,USA
Britannia Industries,India
Travelers,USA
Brewin Dolphin,UK
Andersons,USA
DXC Technology,USA
Tata Power,India
Grafton Group,Ireland
Hilton Worldwide Holdings,USA
MetLife,USA
J.B. Hunt Transport Services,USA
Asian Paints,India
Centrica,UK
U.S. Bancorp,USA
Auto Trader Group,UK
Northern Star Resources,Australia
Celgene Corporation,USA
AT&T,USA
Great Wall Motors,China
Bunzl,UK
Sun TV Network,India
Seven Group Holdings,Australia
WPP plc,UK
Anheuser-Busch InBev SA/NV,Belgium
Apple,USA
Chevron,USA
Adobe,USA
Goodman Group,Australia
United Natural Foods,USA
Liberty Mutual Insurance Group,USA
Duke Energy,USA
United Parcel Service,USA
Wells Fargo,USA
Spotify Technology S.A.,Sweden
First American Financial,USA
ITC Limited,India
China Construction Bank,China
Tata Steel,India
Amazon.com,USA
Marriott International,USA
Bajaj Electricals,India
Paccar,USA
Tencent Holdings,China
O'Reilly Automotive,USA
Company,Country
Tractor Supply,USA
Community Health Systems,USA
Ceconomy AG (Formerly Metro AG),Germany
Playtech,Isle of Man
Tractor Supply Company,USA
Johnson Controls International plc,Ireland
Vertex Pharmaceuticals,USA
Westinghouse Air Brake Technologies,USA
Home Depot,USA
Bosch Group,Germany
Mohawk Industries,USA
Larsen & Toubro (L&T),India
Deere,USA
Kinder Morgan,USA
Cleveland-Cliffs,USA
Starbucks,USA
SBI Life Insurance Company,India
Pacific Life,USA
"Square, Inc.",USA
Alaska Air Group,USA
Northrop Grumman,USA
Keurig Dr Pepper,USA
Robert Half International,USA
Western Digital,USA
Melrose Industries,UK
Autoliv,USA
Volkswagen Financial Services AG,Germany
JD.com,China
Suning.com,China
State Farm Insurance,USA
Dominion Energy,USA
Beiersdorf AG,Germany
StoneX Group,USA
Tenet Healthcare,USA
GAIL (India) Limited,India
Linde plc,Germany
BAE Systems,UK
Unilever,UK/Netherlands
Australia and New Zealand Banking Group (ANZ),Australia
BlueScope Steel,Australia
Bank of New York Mellon,USA
Commercial Metals,USA
UGI,USA
Huntsman,USA
Mahindra & Mahindra Financial Services,India
Sun Pharmaceutical Industries,India
Southern,USA
Phillips 66,USA
China Life Insurance,China
Kainos Group,UK
American Airlines Group,USA
Commerzbank AG,Germany
The Hershey Company,USA
Boeing,USA
Woodside Petroleum,Australia
Travis Perkins,UK
Norfolk Southern,USA
Franklin Resources,USA
L3Harris Technologies,USA
Micro Focus International,UK
CenterPoint Energy,USA
Aviva,UK
D.R. Horton,USA
Whitehaven Coal,Australia
LPL Financial Holdings,USA
KLA,USA
Walt Disney,USA
Warner Bros. Discovery,USA
United Services Automobile Assn.,USA
Industrial and Commercial Bank of China (ICBC),China
United States Steel,USA
Allianz SE,Germany
BMW Group,Germany
Western & Southern Financial Group,USA
Celanese,USA
Fortescue Metals Group,Australia
HSBC (Hongkong and Shanghai Banking Corporation),UK
Targa Resources,USA
Informa,UK
BlackRock,USA
Constellation Brands,USA
Domino's Pizza Group,USA
DTE Energy,USA
